"id","category","text"
"doc0","product","Meridian Analytics offers a cloud-based business intelligence platform with three tiers: Starter ($49/month, up to 5 users), Professional ($199/month, up to 25 users), and Enterprise (custom pricing, unlimited users)."
"doc1","product","The Meridian Analytics platform includes real-time dashboards, automated report generation, and natural language query support. Natural language queries were added in the Q4 2025 update."
"doc2","product","Meridian integrates with Salesforce, HubSpot, Snowflake, and Google BigQuery. A Shopify integration is planned for Q2 2026."
"doc3","product","The Meridian API allows developers to embed analytics directly into their own applications. Authentication uses OAuth 2.0 with scoped access tokens."
"doc4","product","The Meridian mobile app (iOS and Android) provides read-only dashboard access. Push notifications alert users when KPI thresholds are exceeded."
"doc5","product","Meridian's NLP engine supports queries in English, Spanish, French, and German. Users type questions like ""Show me revenue by region"" and receive formatted charts."
"doc6","product","Dashboard customization in Meridian includes drag-and-drop widgets, custom color themes, and role-based default views. Enterprise customers can create white-labeled dashboards."
"doc7","product","Meridian supports 15 pre-built data connectors including PostgreSQL, MySQL, MongoDB, Amazon Redshift, and Azure SQL Database."
"doc8","product","The Q1 2026 release notes include bulk data import improvements (3x faster), a new anomaly detection widget, and keyboard shortcuts for power users."
"doc9","product","Meridian's product roadmap for 2026 includes predictive analytics powered by AutoML, scheduled report delivery via email, and a Slack integration."
"doc10","product","All Meridian API endpoints are versioned. The current version is v3. Version v2 endpoints will be deprecated on September 1, 2026."
"doc11","support","All Meridian Analytics customers receive email support with a 24-hour response guarantee. Professional and Enterprise customers also receive live chat support during business hours (9 AM to 6 PM EST)."
"doc12","support","Meridian Analytics Enterprise customers are assigned a dedicated account manager and receive quarterly business reviews. Onboarding for Enterprise accounts includes a custom implementation plan."
"doc13","support","Meridian's SLA guarantees 99.9 percent uptime for Enterprise customers. Downtime exceeding the SLA results in service credits calculated at 10x the downtime duration."
"doc14","support","The support escalation process has three tiers: Tier 1 (general inquiries, <4 hours), Tier 2 (technical issues, <8 hours), and Tier 3 (critical outages, <1 hour, Enterprise only)."
"doc15","support","Meridian maintains a public knowledge base at help.meridian-analytics.com with 350+ articles covering setup, integrations, and troubleshooting."
"doc16","support","New customer onboarding includes a 60-minute kickoff call, a pre-configured demo dashboard using sample data, and a 30-day check-in with the customer success team."
"doc17","support","Meridian offers instructor-led training sessions (virtual, 2 hours) covering dashboard creation, data connector setup, and NLP query basics. Sessions are included for Enterprise customers."
"doc18","support","Bug reports can be submitted through the in-app feedback button or via support@meridian-analytics.com. Critical bugs are acknowledged within 2 hours during business hours."
"doc19","policy","Meridian offers a 30-day free trial for Starter and Professional tiers. No credit card is required for the trial. Enterprise trials require a sales consultation."
"doc20","policy","Meridian Analytics annual contracts receive a 20 percent discount. Customers can upgrade tiers at any time; downgrades take effect at the next billing cycle."
"doc21","policy","All data is stored in AWS data centers with SOC 2 Type II compliance. Meridian does not sell customer data to third parties. Customers can request full data export at any time."
"doc22","policy","Refund requests must be submitted within 14 days of the billing date. Pro-rated refunds are available for annual contracts canceled before the renewal date."
"doc23","policy","Customers who cancel their subscription retain read-only access to dashboards for 30 days. After 30 days, all data is permanently deleted unless a data export is requested."
"doc24","policy","Meridian retains customer data for 90 days after account closure for recovery purposes. After 90 days, data is permanently deleted in compliance with the data retention policy."
"doc25","policy","Meridian is GDPR compliant. European customer data is stored in the EU-West (Frankfurt) AWS region. Data processing agreements (DPAs) are available upon request."
"doc26","policy","Meridian's platform meets WCAG 2.1 AA accessibility standards. Screen reader support and keyboard navigation are available across all dashboard views."
"doc27","policy","Usage limits vary by tier: Starter allows 100 API calls per day, Professional allows 5,000, and Enterprise allows unlimited API calls with rate limiting at 1,000 requests per minute."
"doc28","policy","Meridian's API rate limits are enforced per access token. Exceeding the rate limit returns HTTP 429 with a Retry-After header indicating the wait time in seconds."
"doc29","policy","The fair use policy prohibits using Meridian accounts for cryptocurrency mining, automated scraping of third-party data, or reselling Meridian's services without authorization."
"doc30","performance","Meridian Analytics Q1 2026 results: total revenue grew 34 percent year-over-year to $12.8 million. The Enterprise tier accounted for 58 percent of total revenue."
"doc31","performance","Meridian Analytics customer count reached 2,400 in Q1 2026, up from 1,800 in Q1 2025. Net revenue retention was 112 percent, indicating existing customers are expanding their usage."
"doc32","performance","Meridian Analytics customer satisfaction (CSAT) averaged 4.3 out of 5 in Q1 2026. The most common complaint was limited mobile app functionality, cited by 23 percent of respondents."
"doc33","performance","The average onboarding time for Meridian Analytics Enterprise customers decreased from 45 days to 28 days in Q1 2026 after the introduction of automated data pipeline configuration."
"doc34","performance","Meridian's Q2 2025 revenue was $8.9 million, with 1,950 active customers. The Professional tier saw the fastest growth at 41 percent year-over-year."
"doc35","performance","Meridian's Q3 2025 revenue was $10.1 million. Customer churn rate dropped to 3.2 percent, down from 4.8 percent in Q3 2024, attributed to the new onboarding process."
"doc36","performance","Q4 2025 NPS (Net Promoter Score) was 47, up from 38 in Q4 2024. Promoters cited ease of use and dashboard flexibility; detractors cited the lack of offline access."
"doc37","performance","Meridian's platform uptime was 99.97 percent in 2025, exceeding the 99.9 percent SLA. The longest outage was 18 minutes on November 3, 2025 (database migration)."
"doc38","performance","Regional revenue breakdown for Q1 2026: North America 62 percent, Europe 24 percent, Asia-Pacific 10 percent, Latin America 4 percent."
"doc39","performance","Meridian employed 185 people as of March 2026: 72 in engineering, 38 in sales, 28 in customer success, 22 in marketing, 15 in operations, and 10 in executive leadership."
"doc40","faq","To reset your Meridian password, click ""Forgot Password"" on the login page. A reset link is sent to your registered email and expires after 24 hours."
"doc41","faq","Meridian supports SSO (Single Sign-On) via SAML 2.0 and OpenID Connect. SSO is available on Professional and Enterprise tiers. Contact support to configure your identity provider."
"doc42","faq","Dashboards can be exported as PDF, PNG, or CSV. Scheduled exports (daily, weekly, monthly) are available on Professional and Enterprise tiers."
"doc43","faq","Meridian is compatible with Chrome, Firefox, Safari, and Edge (latest two versions). Internet Explorer is not supported."
"doc44","faq","The Meridian mobile app requires iOS 15+ or Android 12+. Features include dashboard viewing, KPI alerts, and offline mode for the last-viewed dashboard."
"doc45","faq","Billing questions can be directed to billing@meridian-analytics.com. Invoices are available in the Account Settings section under ""Billing History."""
"doc46","faq","Two-factor authentication (2FA) is available for all accounts. Supported methods include authenticator apps (Google Authenticator, Authy) and SMS codes."
"doc47","faq","API keys are generated in Account Settings under ""Developer."" Each user can have up to 3 active API keys. Keys can be revoked at any time."
"doc48","faq","White-labeling is available on the Enterprise tier. Customers can replace the Meridian logo with their own branding on dashboards and exported reports."
"doc49","faq","Custom domains (e.g., analytics.yourcompany.com) are supported on the Enterprise tier. Setup requires a CNAME DNS record and takes up to 48 hours to propagate."
"doc50","hr_internal","Meridian's remote work policy allows employees to work from home up to 3 days per week. Fully remote arrangements require VP approval and a signed remote work agreement."
"doc51","hr_internal","Full-time employees accrue 20 days of PTO per year, plus 10 company holidays. PTO rolls over up to 5 days into the next calendar year."
"doc52","hr_internal","Meridian offers health insurance (medical, dental, vision), a 401(k) match up to 4 percent, and a $1,500 annual learning stipend for conferences and courses."
"doc53","hr_internal","The hiring process consists of four stages: resume screen, recruiter call (30 min), technical interview (60 min), and a team culture interview (45 min)."
"doc54","hr_internal","Performance reviews are conducted semi-annually in June and December. Reviews use a 1-5 rating scale across four categories: impact, collaboration, growth, and leadership."
"doc55","hr_internal","Meridian's DEI committee meets monthly and publishes a quarterly diversity report. The current workforce is 44 percent women, 31 percent underrepresented minorities."
"doc56","hr_internal","Business travel requires pre-approval from the employee's direct manager. Flights over $500 require VP approval. Reimbursement is processed within 14 business days."
"doc57","hr_internal","The expense reimbursement policy covers meals (up to $75/day during travel), ground transportation, and work-related supplies. Receipts are required for all expenses over $25."
"doc58","hr_internal","New employees receive a company laptop (MacBook Pro or Dell XPS, employee choice), monitor, keyboard, and mouse. Equipment must be returned upon departure."
"doc59","hr_internal","Meridian's organizational chart is maintained in BambooHR. The executive team consists of CEO, CTO, CFO, VP of Sales, VP of Customer Success, and VP of Marketing."
